valor,pais_origem,pais_destino,hora,historico,risco
330218,Alemanha,China,20,ruim,medio
11647,Brasil,Brasil,7,bom,medio
152264,EUA,Alemanha,22,ruim,medio
1551760,EUA,Nigéria,23,medio,medio
78172,Nigéria,China,10,ruim,medio
915,Brasil,Brasil,12,bom,baixo
20603,EUA,Nigéria,2,medio,medio
58605,Nigéria,Nigéria,22,medio,medio
4865,Nigéria,EUA,0,bom,medio
118131,Brasil,Nigéria,3,medio,medio
141100,Brasil,China,21,medio,medio
384177,China,Alemanha,1,medio,medio
153486,Brasil,Nigéria,7,medio,medio
51042,Nigéria,EUA,4,medio,medio
48691,Nigéria,China,17,bom,medio
36598,China,Brasil,13,bom,medio
124443,China,EUA,13,medio,medio
510190,EUA,China,7,medio,medio
940927,China,EUA,15,medio,medio
240156,Brasil,Alemanha,18,medio,medio
44360,Alemanha,Nigéria,8,medio,medio
338458,Nigéria,EUA,11,medio,medio
311748,EUA,Nigéria,23,ruim,medio
151,Nigéria,EUA,13,bom,baixo
26565,Nigéria,Nigéria,15,bom,medio
6,Alemanha,Alemanha,3,medio,baixo
23898,EUA,Alemanha,23,ruim,medio
26360,Alemanha,Nigéria,11,medio,medio
192935,Nigéria,Alemanha,4,ruim,medio
18801,Alemanha,China,11,medio,medio
3516,China,China,7,bom,baixo
6987,Brasil,Alemanha,5,bom,medio
8808,Nigéria,EUA,23,ruim,medio
24649,Alemanha,China,1,bom,medio
97562,Alemanha,Alemanha,14,medio,medio
598680,Alemanha,Brasil,13,medio,medio
218659,Nigéria,EUA,0,medio,medio
304408,China,Brasil,4,ruim,medio
5090,Alemanha,China,9,bom,medio
176016,Brasil,Brasil,7,medio,medio
11605,EUA,Nigéria,19,bom,medio
234850,Alemanha,EUA,6,ruim,medio
186549,Nigéria,China,0,medio,medio
79042,Nigéria,Brasil,13,medio,medio
5055,China,Brasil,12,bom,medio
12020,EUA,Nigéria,20,bom,medio
123326,Alemanha,China,17,ruim,medio
14241,Alemanha,Brasil,6,bom,medio
23480,China,China,8,bom,medio
195205,China,EUA,1,ruim,medio
145319,China,EUA,8,medio,medio
14270,Brasil,China,13,bom,medio
6851,Brasil,Nigéria,20,bom,medio
296959,Alemanha,EUA,4,ruim,medio
166630,Brasil,EUA,8,ruim,medio
165135,Brasil,Alemanha,20,ruim,medio
1704,EUA,Brasil,22,bom,baixo
390903,China,China,13,ruim,medio
21061,Nigéria,EUA,6,bom,medio
8129,Alemanha,Brasil,12,bom,medio
6492,EUA,EUA,14,bom,medio
16242,Brasil,EUA,13,medio,medio
286864,Alemanha,Nigéria,6,medio,medio
147351,EUA,Brasil,23,ruim,medio
21362,Alemanha,China,19,medio,medio
16871,China,Alemanha,10,bom,medio
88826,Brasil,Nigéria,13,medio,medio
38509,Alemanha,China,9,bom,medio
7301,China,Alemanha,9,bom,medio
51907,Brasil,EUA,15,bom,medio
343,Alemanha,Nigéria,18,bom,baixo
24413,Brasil,Nigéria,9,medio,medio
125568,Nigéria,China,11,medio,medio
203321,Brasil,Alemanha,5,medio,medio
7452,Brasil,China,7,bom,medio
117253,Alemanha,Brasil,3,ruim,medio
16500,Brasil,Alemanha,17,medio,medio
25380,China,Alemanha,5,bom,medio
95623,Brasil,Alemanha,6,medio,medio
122899,Alemanha,Nigéria,7,ruim,medio
255661,Alemanha,China,12,ruim,medio
124210,China,Nigéria,4,medio,medio
406390,EUA,Alemanha,16,medio,medio
12747,Alemanha,Nigéria,14,ruim,medio
17210,China,Brasil,2,bom,medio
287548,Brasil,Brasil,4,ruim,medio
326712,Nigéria,Nigéria,9,ruim,medio
241,EUA,Alemanha,5,bom,baixo
5883,Nigéria,Nigéria,5,bom,medio
13055,Nigéria,Nigéria,14,bom,medio
616,Alemanha,Alemanha,19,bom,baixo
107759,Nigéria,Brasil,5,medio,medio
18868,Brasil,Alemanha,5,ruim,medio
4986,Alemanha,EUA,3,bom,medio
17692,China,Nigéria,14,bom,medio
7457,Brasil,Brasil,5,bom,medio
2262,Alemanha,China,6,bom,baixo
67418,Brasil,China,21,ruim,medio
9414,China,China,14,bom,medio
17485,China,Nigéria,8,bom,medio
43115,EUA,Nigéria,14,ruim,medio
1408,Nigéria,Brasil,4,bom,baixo
251225,EUA,Brasil,11,medio,medio
329093,Alemanha,Nigéria,6,medio,medio
111900,EUA,Brasil,19,medio,medio
11348,Brasil,EUA,20,bom,medio
2249,Alemanha,Alemanha,5,bom,baixo
339983,China,EUA,15,medio,medio
22006,Nigéria,Nigéria,20,bom,medio
16964,EUA,China,14,bom,medio
125132,Brasil,China,18,medio,medio
20450,Brasil,EUA,1,medio,medio
124651,EUA,Brasil,18,ruim,medio
7443,Alemanha,Alemanha,7,bom,medio
18520,Brasil,Alemanha,9,bom,medio
240938,China,Alemanha,13,medio,medio
5000,China,China,5,bom,medio
1375,Nigéria,Alemanha,8,bom,baixo
9387,Alemanha,Alemanha,11,bom,medio
304736,China,Brasil,18,medio,medio
154063,Brasil,Brasil,8,ruim,medio
413032,Alemanha,Nigéria,12,ruim,medio
290132,Brasil,Nigéria,22,medio,medio
1086782,Alemanha,Alemanha,22,medio,medio
258677,Nigéria,China,16,medio,medio
680,EUA,Nigéria,11,bom,baixo
142803,EUA,China,0,ruim,medio
404013,China,EUA,18,medio,medio
4192,Brasil,Brasil,16,bom,medio
6865,Brasil,Brasil,2,bom,medio
199096,Alemanha,Alemanha,21,medio,medio
40105,Alemanha,China,2,ruim,medio
29753,Nigéria,Nigéria,17,bom,medio
37005,China,EUA,0,medio,medio
658510,China,Alemanha,19,medio,medio
14962,Alemanha,China,21,bom,medio
115930,Brasil,Nigéria,16,ruim,medio
205453,EUA,Alemanha,11,medio,medio
8548,Brasil,Alemanha,10,bom,medio
1958230,China,Brasil,22,medio,medio
168377,Nigéria,Brasil,23,medio,medio
142011,Alemanha,EUA,1,ruim,medio
7803,Nigéria,Brasil,6,bom,medio
261090,Alemanha,China,12,ruim,medio
185642,Nigéria,Brasil,18,medio,medio
22673,Alemanha,Alemanha,6,bom,medio
318180,Brasil,Brasil,8,medio,medio
1416,EUA,EUA,2,bom,baixo
8941,Nigéria,China,3,bom,medio
103884,EUA,Alemanha,16,medio,medio
1412,Brasil,Alemanha,8,bom,baixo
93940,Alemanha,Alemanha,2,ruim,medio
15039,Brasil,Brasil,15,bom,medio
10424,Brasil,Nigéria,5,bom,medio
33530,EUA,Nigéria,11,ruim,medio
7328,Alemanha,Nigéria,7,bom,medio
18593,Nigéria,EUA,2,ruim,medio
111540,Brasil,Alemanha,23,ruim,medio
16769,Alemanha,EUA,9,bom,medio
7858,EUA,Alemanha,18,bom,medio
292037,Nigéria,China,4,medio,medio
63982,Brasil,Brasil,3,medio,medio
153216,Brasil,Nigéria,4,ruim,medio
3170,Alemanha,Alemanha,16,bom,baixo
107313,China,China,16,medio,medio
134328,Brasil,EUA,12,medio,medio
10446,Brasil,EUA,13,bom,medio
214059,Brasil,China,8,medio,medio
313733,China,Nigéria,14,ruim,medio
22200,China,Nigéria,8,ruim,medio
178217,EUA,Brasil,5,medio,medio
220486,Alemanha,EUA,1,medio,medio
875213,Nigéria,Brasil,23,medio,medio
14459,EUA,Nigéria,0,bom,medio
121422,Alemanha,Alemanha,0,medio,medio
39590,Brasil,EUA,14,medio,medio
273339,Alemanha,Alemanha,0,medio,medio
77253,Brasil,EUA,10,medio,medio
74190,Nigéria,Nigéria,23,medio,medio
231641,EUA,Alemanha,10,medio,medio
35269,Alemanha,China,9,ruim,medio
95024,China,Brasil,19,medio,medio
386023,Brasil,Brasil,20,medio,medio
116135,China,China,13,ruim,medio
212884,Alemanha,Nigéria,12,medio,medio
305973,Nigéria,Brasil,17,ruim,medio
162920,EUA,Alemanha,21,ruim,medio
255955,EUA,Nigéria,13,medio,medio
4987,China,China,0,bom,medio
107141,EUA,China,10,medio,medio
45301,Nigéria,Nigéria,6,medio,medio
115712,Brasil,Brasil,0,medio,medio
5220,EUA,Nigéria,3,bom,medio
91206,Brasil,EUA,19,ruim,medio
20936,Brasil,Nigéria,17,bom,medio
173655,Nigéria,Nigéria,0,medio,medio
218540,Alemanha,Alemanha,19,medio,medio
440759,Brasil,Brasil,2,medio,medio
268912,EUA,Nigéria,15,medio,medio
245,Nigéria,EUA,1,bom,baixo
35206,Alemanha,China,2,medio,medio
13382,EUA,Alemanha,14,bom,medio
4859,China,Nigéria,14,ruim,medio
518339,Brasil,China,22,medio,medio
451310,China,Nigéria,4,medio,medio
161121,Alemanha,Brasil,10,ruim,medio
49364,Brasil,Brasil,7,medio,medio
92119,Brasil,Alemanha,15,ruim,medio
282508,Alemanha,China,4,ruim,medio
813462,China,China,23,medio,medio
53797,Brasil,Brasil,4,medio,medio
82797,EUA,Alemanha,3,bom,medio
529508,Brasil,Brasil,10,medio,medio
13763,EUA,Brasil,4,bom,medio
13176,China,Alemanha,9,bom,medio
58760,Nigéria,Nigéria,9,bom,medio
1096,Nigéria,Nigéria,16,bom,baixo
42843,EUA,China,17,medio,medio
74833,China,Nigéria,22,ruim,medio
206764,China,Brasil,21,ruim,medio
164032,Nigéria,Brasil,8,medio,medio
9296,China,China,5,bom,medio
235731,China,Alemanha,19,medio,medio
142259,Nigéria,Brasil,6,medio,medio
8164,Brasil,Alemanha,11,bom,medio
95263,Alemanha,EUA,11,ruim,medio
249585,China,Brasil,8,ruim,medio
396792,Brasil,Alemanha,10,ruim,medio
15068,Nigéria,Nigéria,0,bom,medio
440773,Brasil,Nigéria,20,medio,medio
14298,China,Brasil,13,bom,medio
78108,Alemanha,China,10,ruim,medio
12596,China,Brasil,2,bom,medio
31141,China,Nigéria,5,ruim,medio
1251,Nigéria,Alemanha,21,bom,baixo
1068,Nigéria,Brasil,8,bom,baixo
455834,China,China,23,ruim,medio
14511,Alemanha,Alemanha,17,bom,medio
28591,Nigéria,Nigéria,4,medio,medio
193890,EUA,Brasil,15,ruim,medio
129041,Nigéria,EUA,23,medio,medio
215925,China,Nigéria,10,medio,medio
136964,China,Brasil,15,medio,medio
3551,Alemanha,Alemanha,8,bom,baixo
1331086,Brasil,Brasil,2,medio,medio
244211,Alemanha,China,2,medio,medio
2901,Brasil,China,0,bom,baixo
386669,EUA,EUA,21,medio,medio
24104,EUA,EUA,14,bom,medio
265293,China,Nigéria,2,ruim,medio
619,China,Nigéria,4,medio,baixo
875582,EUA,Nigéria,6,medio,medio
54330,Nigéria,China,4,medio,medio
13344,EUA,Alemanha,10,bom,medio
8579,EUA,Brasil,18,bom,medio
163051,Nigéria,Brasil,9,medio,medio
110568,China,Alemanha,4,ruim,medio
22434,Nigéria,Brasil,11,bom,medio
313664,China,Nigéria,5,medio,medio
125991,China,China,4,medio,medio
93496,Alemanha,Nigéria,19,medio,medio
113147,Alemanha,EUA,6,ruim,medio
437371,Brasil,EUA,9,medio,medio
7848,EUA,EUA,3,bom,medio
296870,EUA,EUA,16,ruim,medio
46773,Nigéria,China,6,ruim,medio
106799,Brasil,Alemanha,21,ruim,medio
327534,Alemanha,Brasil,15,medio,medio
153990,Brasil,China,16,medio,medio
935639,Alemanha,Brasil,17,medio,medio
423808,EUA,Nigéria,2,medio,medio
12209,Nigéria,EUA,8,bom,medio
220141,Nigéria,Brasil,1,ruim,medio
320395,Alemanha,China,0,ruim,medio
5222,China,China,21,bom,medio
29279,EUA,EUA,12,bom,medio
206,EUA,China,2,bom,baixo
71997,Brasil,Alemanha,18,medio,medio
135411,Nigéria,China,18,medio,medio
68324,Alemanha,China,4,medio,medio
29158,China,Nigéria,14,ruim,medio
297656,EUA,Nigéria,21,ruim,medio
156765,EUA,Brasil,20,medio,medio
93483,Nigéria,Brasil,13,medio,alto
218440,Nigéria,Brasil,1,medio,medio
14872,Brasil,Brasil,9,bom,medio
25540,Nigéria,Alemanha,1,bom,medio
336,China,China,0,bom,baixo
46031,China,Nigéria,21,medio,medio
144153,Brasil,Nigéria,14,medio,medio
378955,Nigéria,EUA,19,medio,medio
17147,Nigéria,Nigéria,12,bom,medio
48213,EUA,EUA,23,bom,medio
210391,Brasil,Brasil,22,ruim,medio
5718,Brasil,Nigéria,9,bom,medio
141273,Alemanha,EUA,17,ruim,medio
4962,Alemanha,China,18,bom,medio
242090,EUA,Nigéria,13,ruim,medio
1854,EUA,EUA,15,bom,baixo
78860,EUA,EUA,17,ruim,medio
5392,Alemanha,EUA,23,bom,medio
17076,Nigéria,Brasil,4,bom,medio
90723,China,China,0,medio,medio
111054,China,China,16,medio,medio
25884,China,Nigéria,15,medio,medio
35472,Alemanha,EUA,9,medio,medio
34917,China,EUA,9,bom,medio
38264,Brasil,Brasil,0,bom,medio
378992,Brasil,Nigéria,2,medio,medio
318738,Nigéria,Brasil,2,medio,medio
122363,Nigéria,Alemanha,14,medio,medio
145029,Nigéria,EUA,22,medio,medio
140162,Nigéria,EUA,20,medio,medio
23715,Alemanha,Brasil,1,bom,medio
75987,Brasil,China,2,medio,medio
267612,Nigéria,Alemanha,10,ruim,medio
8360,EUA,Nigéria,1,bom,medio
143963,Brasil,Alemanha,13,medio,medio
143114,EUA,China,17,ruim,medio
207918,EUA,Alemanha,13,ruim,medio
57695,EUA,Alemanha,10,medio,medio
12460,EUA,EUA,4,bom,medio
52551,Alemanha,Alemanha,9,ruim,medio
56449,Alemanha,Alemanha,23,medio,medio
16532,Nigéria,Nigéria,10,bom,medio
148331,China,Nigéria,17,medio,medio
5021,EUA,Brasil,4,bom,medio
195002,Brasil,Alemanha,8,medio,medio
100099,EUA,China,16,medio,medio
120193,Alemanha,Brasil,19,medio,medio
8452,Brasil,China,1,bom,medio
4126119,Nigéria,Nigéria,19,medio,medio
40925,Alemanha,Nigéria,7,bom,medio
44871,Brasil,EUA,11,bom,medio
233176,China,EUA,7,ruim,medio
10503,EUA,Nigéria,6,bom,medio
11500,EUA,China,5,ruim,medio
58148,China,Brasil,9,medio,medio
29475,China,China,2,medio,medio
303337,Alemanha,Nigéria,14,ruim,medio
63328,Alemanha,EUA,20,medio,medio
298903,Alemanha,China,0,medio,medio
148433,Alemanha,EUA,3,medio,medio
136777,China,Alemanha,11,ruim,medio
177095,Nigéria,China,7,medio,medio
190472,Alemanha,China,17,medio,medio
29707,China,Brasil,5,ruim,medio
178844,China,Brasil,16,medio,medio
124911,Brasil,Brasil,12,ruim,medio
13589,Alemanha,China,11,bom,medio
97301,China,EUA,2,medio,medio
181162,Alemanha,China,12,ruim,medio
105621,Nigéria,Brasil,6,ruim,medio
147943,China,China,22,medio,medio
380803,Alemanha,Alemanha,21,ruim,medio
361,EUA,Alemanha,7,bom,baixo
364810,EUA,Brasil,19,ruim,medio
45045,Brasil,Nigéria,2,ruim,medio
609216,Alemanha,Alemanha,14,medio,medio
147973,China,Alemanha,10,medio,medio
8363,Nigéria,Nigéria,18,bom,medio
44326,Alemanha,EUA,3,medio,medio
42441,Brasil,China,5,ruim,medio
62545,Nigéria,Nigéria,1,medio,medio
18492,Brasil,EUA,1,bom,medio
13755,EUA,China,15,bom,medio
15330,China,Brasil,17,bom,medio
76188,China,China,2,medio,medio
324049,China,Alemanha,7,medio,medio
15785,Nigéria,EUA,7,bom,medio
180064,Alemanha,Brasil,23,medio,medio
134423,EUA,Alemanha,1,medio,medio
7927,Nigéria,Nigéria,7,ruim,medio
154692,Brasil,Brasil,6,medio,medio
34056,Brasil,Nigéria,20,medio,medio
403549,EUA,Alemanha,22,medio,medio
9432,Nigéria,Nigéria,5,bom,medio
23766,Nigéria,Alemanha,10,bom,medio
402018,China,EUA,18,medio,medio
59531,EUA,Alemanha,13,bom,medio
498,China,EUA,21,bom,baixo
100390,Brasil,EUA,3,ruim,medio
3645,EUA,Alemanha,10,bom,baixo
620587,China,China,12,medio,medio
199757,Brasil,China,6,ruim,medio
223811,Nigéria,EUA,1,medio,medio
1294,China,Nigéria,7,bom,baixo
1090,China,China,2,bom,baixo
628302,Nigéria,China,6,medio,medio
147185,Nigéria,EUA,21,medio,medio
188446,Alemanha,Nigéria,5,ruim,medio
155905,EUA,EUA,23,medio,medio
22568,Brasil,China,11,bom,medio
152261,EUA,EUA,9,medio,medio
346868,Alemanha,Brasil,12,ruim,medio
259959,China,Alemanha,22,medio,medio
6067,Brasil,EUA,15,ruim,medio
1957,China,EUA,15,bom,baixo
32998,Brasil,Nigéria,18,medio,medio
8075,Nigéria,China,10,bom,medio
5929,Nigéria,Brasil,14,bom,medio
100384,Brasil,EUA,2,medio,medio
15395,EUA,China,9,bom,medio
258,EUA,EUA,5,bom,baixo
216380,Alemanha,Alemanha,15,ruim,medio
11441,EUA,Alemanha,22,bom,medio
70643,EUA,China,7,ruim,medio
90548,Alemanha,Alemanha,6,medio,medio
166,Alemanha,China,14,bom,baixo
492822,Alemanha,Brasil,16,medio,medio
51769,China,China,18,bom,medio
248823,China,EUA,15,medio,medio
11453,Nigéria,Nigéria,14,bom,medio
164464,Nigéria,Brasil,0,medio,medio
75297,Nigéria,China,17,ruim,medio
